rank	rubygem_id	name	downloads
217	35824	net-ntp	249240237
218	142041	colored2	244937571
219	150696	dry-core	242878118
220	39893	psych	242758431
221	187710	net-pop	242756770
222	179060	irb	242380558
223	28069	mysql2	242095798
224	15018	htmlentities	242046505
225	116263	tty-screen	240638541
226	154408	kaminari-core	239290491
227	149767	google-cloud-storage	239168299
228	43431	coffee-rails	236230424
229	47666	io-console	235559451
230	154410	kaminari-activerecord	234917250
231	15054	yard	234862123
232	32216	brakeman	234453860
233	154409	kaminari-actionview	234414459
234	195827	securerandom	232427632
235	187703	benchmark	232256638
236	167236	dry-inflector	232125214
237	16310	net-scp	231310604
238	136871	tty-cursor	230347233
239	45699	pry-rails	229261017
240	164925	googleapis-common-protos-types	226605099
241	158271	et-orbi	225947513
242	28740	omniauth	224020411
243	48746	xcodeproj	223544650
244	154031	aws-sdk-kinesis	222562328
245	142386	dry-types	219694928
246	138813	dry-logic	218803694
247	21765	database_cleaner	218027795
248	84924	elasticsearch-api	217025064
249	26742	elasticsearch	215976893
250	155158	fugit	214146984
251	70693	safe_yaml	213826467
252	47286	http	213660010
253	15349	plist	212987452
254	116687	fastlane	212016048
255	22108	redis-namespace	211720490
256	154010	aws-sdk-dynamodb	210909340
257	21907	fastimage	210783181
258	121775	sassc	210582508
259	15633	thin	208653839
260	28863	net-http-persistent	208492850
261	55901	ice_nine	208197738
262	25341	chunky_png	207755256
263	17171	git	207434840
264	121632	grpc	206701175
265	133368	raabro	205709314
266	15278	haml	205688340
267	197944	google-apis-storage_v1	205559611
268	118404	http-form_data	205362930
269	61548	websocket	205272667
270	74457	dotenv-rails	204693680
271	71917	debug_inspector	204186909
272	179059	mutex_m	203838911
273	120232	graphql	203093515
274	61473	timers	202384977
275	205427	rack-session	201536178
276	55249	lograge	200207440
277	197922	google-apis-iamcredentials_v1	199611525
278	38927	binding_of_caller	199119915
279	126803	rails-controller-testing	198699029
280	136030	csv	196742857
281	26820	prism	195886828
282	171951	stringio	195849060
283	92726	fog-core	195560183
284	15916	sqlite3	194919013
285	35355	json-schema	194863794
286	192016	net-http	194554329
287	24215	mimemagic	192863154
288	127847	dry-configurable	191524124
289	17562	nap	188597889
290	47538	omniauth-oauth2	188001511
291	17520	newrelic_rpm	186193830
292	92931	fog-json	185917905
293	33759	google-api-client	185233591
294	29339	ipaddress	184506082
295	81944	web-console	184094149
296	21697	bullet	183914386
297	97571	state_machines	183469469
298	35091	uniform_notifier	182828093
299	100060	fog-xml	181725392
300	19075	css_parser	181003657
301	15821	net-sftp	180900995
302	144801	sass-listen	180331452
303	70601	ffi-compiler	179696148
304	34267	http_parser.rb	179390218
305	208135	rackup	179120342
306	25288	rack-proxy	178696663
307	92571	matrix	177354754
308	15029	xml-simple	177228069
309	152138	nanaimo	176971402
310	118308	fog-aws	176187982
311	154050	aws-sdk-sns	175148294
312	122037	sassc-rails	175128276
313	84929	elasticsearch-transport	174421808
314	180114	kramdown-parser-gfm	172672780
315	30700	babosa	172593786
316	159139	unicode-emoji	171773588
317	153990	aws-sdk-cloudformation	169139221
318	15245	oauth	169035214
319	154034	aws-sdk-lambda	168978847
320	60152	aws-sdk-cloudwatch	168761364
321	171971	aws-sdk-secretsmanager	168733164
322	18511	colorize	167707344
323	39904	celluloid	167422944
324	26998	parallel_tests	166804812
325	31643	activerecord-import	166617992
326	75694	faraday-cookie_jar	166615737
327	26846	vcr	165073401
328	75546	autoprefixer-rails	164142280
329	39997	ttfunk	163553416
330	115793	tty-spinner	163082331
331	16855	rchardet	162928887
332	117855	bindex	162681497
333	46965	fluent-plugin-s3	160256595
334	206383	redis-client	160203946
335	169253	atomos	159894178
336	125946	fluent-plugin-kubernetes_metadata_filter	158865272
337	35410	slop	157845702
338	86151	stackprof	157007667
339	146869	gh_inspector	156707494
340	15450	colored	156481677
341	179057	ostruct	155775439
342	197870	google-apis-androidpublisher_v3	155550752
343	33411	guard	154738939
344	38109	lumberjack	154313208
345	154026	aws-sdk-iam	152777761
346	17372	backports	152083107
347	62127	rack-attack	151980177
348	16192	sexp_processor	151957914
349	183849	sorbet-runtime	150662684
350	15365	open4	150473093
351	196673	sentry-ruby	150436371
352	21734	commander	148440839
353	21205	paper_trail	146975665
354	154013	aws-sdk-ecr	146444353
355	30826	browser	145739492
356	153997	aws-sdk-cloudwatchlogs	144759166
357	67966	descendants_tracker	144438556
358	72089	bundler-audit	144321493
359	89246	xcpretty	144283306
360	64978	turbolinks	143145076
361	19223	carrierwave	142898335
362	19404	bindata	142702933
363	68175	climate_control	142499632
364	15744	rufus-scheduler	142003425
365	117403	nenv	141697604
366	118060	notiffany	141683879
367	16402	ruby_parser	141549155
368	207450	version_gem	141309757
369	43870	rails-i18n	140712028
370	84023	slack-notifier	140446264
371	15461	unicode_utils	140336627
372	68038	faraday-http-cache	140329193
373	117992	shellany	140070239
374	46552	cocoapods	139843683
375	38160	rotp	139308232
376	154042	aws-sdk-route53	138741213
377	17056	liquid	138701833
378	178700	bootboot	138638854
379	167221	pp	138572081
380	111927	jaro_winkler	138400020
381	163117	emoji_regex	137795661
382	51394	active_model_serializers	137673909
383	21109	useragent	137669376
384	16293	sanitize	137251194
385	127848	dry-container	137039676
386	60133	dogstatsd-ruby	136714201
387	31660	ruby-saml	136478087
388	23467	redis-store	136288905
389	72892	cocoapods-core	135539924
390	212045	lint_roller	135451003
391	143817	dry-initializer	135377319
392	86502	spring-commands-rspec	135261035
393	116915	guard-compat	134898627
394	68703	naturally	134839182
395	15469	chronic	134742773
396	61959	security	134525289
397	176303	optimist	134422732
398	62249	terminal-notifier	134365416
399	37688	twilio-ruby	134280522
400	39825	redcarpet	134120277
401	69574	coercible	133938643
402	17164	money	133456097
403	138108	simctl	133417055
404	51648	celluloid-io	133111975
405	29296	foreman	133026673
406	189351	database_cleaner-active_record	132852733
407	41056	nori	132402340
408	24845	countries	131675821
409	60472	ruby-vips	131532107
410	67875	equalizer	131501720
411	154046	aws-sdk-ses	130892917
412	168037	ed25519	130825655
413	42489	virtus	130715410
414	33413	guard-rspec	129549877
415	32005	dalli	129511539
416	16699	rqrcode	129068486
417	191986	database_cleaner-core	129030314
418	74088	axiom-types	128810404
419	35470	gyoku	128018152
420	46081	redis-rack	128002919
421	154023	aws-sdk-firehose	128000762
422	154018	aws-sdk-elasticloadbalancing	126960951
423	24065	premailer	126894886
424	208486	snaky_hash	126793061
425	121928	xcpretty-travis-formatter	126612132
426	133975	image_processing	126212015
427	46077	redis-actionpack	126192991
428	61933	rspec-retry	125806133
429	133765	danger	125553348
430	38688	ruby-rc4	125075123
431	33213	kgio	124814877
432	28126	raindrops	124508635
433	78790	tzinfo-data	124474713
434	46877	tins	124402291
435	91749	word_wrap	123914953
436	48405	omniauth-google-oauth2	123387559
437	128004	debug	123171528
438	124446	celluloid-supervision	122755623
439	24077	encryptor	122723185
440	124127	celluloid-pool	122551091
441	124855	celluloid-essentials	122530617
442	124439	celluloid-fsm	122522484
443	124748	celluloid-extras	122519918
444	18994	deep_merge	122384574
445	43204	statsd-ruby	122315441
446	112895	debase-ruby_core_source	122272863
447	164890	faraday_middleware-aws-sigv4	122095961
448	92644	get_process_mem	122028089
449	180607	dry-schema	121950498
450	43921	stripe	121585183
451	154040	aws-sdk-rds	120833004
452	19885	optparse	120374866
453	153991	aws-sdk-cloudfront	120194987
454	156270	declarative-option	120192732
455	196674	sentry-rails	119848440
456	46061	letter_opener	119511517
457	15459	unicorn	119226921
458	136732	dry-validation	118645462
459	28123	bson	118458686
460	80486	artifactory	118080207
461	197832	google-apis-playcustomapp_v1	118069433
462	84130	prettyprint	118049583
463	39898	ransack	117584608
464	142207	cork	116538055
465	138447	tty-color	116508044
466	16750	erb	116291435
467	74911	wisper	116203162
468	147699	claide-plugins	116176008
469	113713	pastel	116032536
470	64767	gitlab	115401599
471	42591	rubygems-bundler	115272055
472	16718	roo	114963051
473	160195	aws-sdk-states	114810972
474	69738	eye	114733953
475	114527	molinillo	114458798
476	49409	doorkeeper	114086676
477	17315	pdf-reader	113726354
478	153996	aws-sdk-cloudwatchevents	113521747
479	153998	aws-sdk-codecommit	113205686
480	195823	nkf	113177187
481	39533	dogapi	113086185
482	19910	Ascii85	113004588
483	153988	aws-sdk-autoscaling	112689684
484	58063	sentry-raven	112353813
485	154014	aws-sdk-ecs	112262342
486	141359	googleapis-common-protos	112206991
487	20298	ansi	111939392
488	169347	kostya-sigar	111668773
489	17640	gli	111397467
490	34347	rack-timeout	111096673
491	73782	premailer-rails	111075531
492	72896	cocoapods-downloader	110999319
493	15789	systemu	110235563
494	32721	httpi	110090019
495	17499	geocoder	110052759
496	67716	pundit	110017641
497	68707	better_errors	109883131
498	47507	capybara-screenshot	109687107
499	46372	json-jwt	109410867
500	20195	yajl-ruby	109041914
501	35296	diffy	108067261
502	130613	ruby-macho	108018635
503	15231	will_paginate	107863306
504	84187	memory_profiler	107663842
505	142563	bcrypt_pbkdf	107389000
506	171952	strscan	107201768
507	14992	logging	106817167
508	80986	powerpack	106251164
509	21829	aasm	105624726
510	199271	llhttp-ffi	105543191
511	52221	fuzzy_match	104633481
512	20046	little-plugger	104535965
513	154019	aws-sdk-elasticloadbalancingv2	104472009
514	140040	turbolinks-source	104432592
515	17670	mongo	104266987
516	43561	wasabi	104176598
517	75387	fluent-plugin-record-modifier	104070398
518	125169	aes_key_wrap	103870564
519	15658	cucumber	103699573
520	81109	rspec-its	103576871
521	61309	reverse_markdown	103442394
522	16874	prawn	103301576
523	151370	jsonapi-renderer	103127259
524	98758	cocoapods-trunk	102855965
525	28575	hashery	102611874
526	43566	akami	102519609
527	79443	unparser	102383352
528	15558	polyglot	101820749
529	210262	rubocop-capybara	101648565
530	21508	savon	101240676
531	154002	aws-sdk-cognitoidentityprovider	101119910
532	110858	rails-deprecated_sanitizer	101015016
533	33281	afm	100600597
534	163230	ssrf_filter	100600018
535	124314	tomlrb	100589798
536	160840	aws-sdk-athena	100012519
537	156054	ddtrace	99869116
538	23539	i18n_data	99721700
539	154254	aws-sdk-rekognition	99388192
540	15413	uuidtools	99271064
541	212316	rubocop-factory_bot	98638758
542	23298	simple_form	98178298
543	154004	aws-sdk-configservice	98125508
544	90222	pdf-core	98101300
545	15670	escape	97938801
546	113191	cocoapods-deintegrate	97773809
547	15210	test-unit	97550560
548	15067	mocha	97350187
549	153985	aws-sdk-apigateway	97282221
550	154041	aws-sdk-redshift	97202152
551	70657	sshkit	97121483
552	163996	aws-sdk-glue	97064965
553	154016	aws-sdk-elasticache	96745046
554	82586	algoliasearch	96736817
555	83412	sidekiq-cron	96494299
556	88901	cocoapods-try	96440361
557	126039	commonmarker	96316184
558	137856	fourflusher	96165733
559	25198	openssl	96125496
560	79736	docker-api	95966664
561	154107	webpacker	95897267
562	15014	term-ansicolor	95862449
563	18097	jsonpath	95773026
564	97998	cocoapods-search	95571479
565	140205	activemodel-serializers-xml	95469142
566	62519	flipper	95339619
567	154020	aws-sdk-elasticsearchservice	95171971
568	150605	case_transform	95028512
569	93319	cancancan	94977994
570	156147	aws-sdk-batch	94689888
571	154247	aws-sdk-pinpoint	94650410
572	153984	aws-sdk-acm	94646794
573	15170	treetop	94562436
574	153995	aws-sdk-cloudtrail	94545941
575	149359	graphql-client	94473106
576	167561	aws-sdk-mediaconvert	94466598
577	157794	aws-sdk-organizations	94367164
578	46076	redis-activesupport	94296730
579	97212	cocoapods-plugins	94153249
580	156589	no_proxy_fix	94079869
581	154022	aws-sdk-emr	93838043
582	50599	mixlib-shellout	93807719
583	153999	aws-sdk-codedeploy	93589343
584	16886	require_all	93586486
585	154244	aws-sdk-xray	93534843
586	72173	fluent-plugin-elasticsearch	93478596
587	154005	aws-sdk-databasemigrationservice	93476152
588	154015	aws-sdk-efs	93320193
589	167664	aws-sdk-sagemaker	93298850
590	153986	aws-sdk-applicationautoscaling	93285388
591	154011	aws-sdk-dynamodbstreams	93228847
592	154255	aws-sdk-codebuild	92758492
593	78823	multi_test	92696537
594	154017	aws-sdk-elasticbeanstalk	92602998
595	16458	rubyntlm	92482303
596	55980	sixarm_ruby_unaccent	92292249
597	154029	aws-sdk-iot	92195875
598	16507	ruby-prof	92123783
599	163998	aws-sdk-cloudhsmv2	91981684
600	154000	aws-sdk-codepipeline	91917362
601	154045	aws-sdk-servicecatalog	91888391
602	130410	slack-ruby-client	91578933
603	53824	jquery-ui-rails	91413275
604	154246	aws-sdk-polly	91350308
605	154001	aws-sdk-cognitoidentity	91216321
606	154251	aws-sdk-lightsail	90961913
607	153989	aws-sdk-budgets	90917589
608	154043	aws-sdk-route53domains	90893513
609	154057	aws-sdk-workspaces	90828376
610	154056	aws-sdk-waf	90827144
611	164532	tty-reader	90736125
612	135461	tty-prompt	90669585
613	16004	activeresource	90632941
614	22141	recaptcha	90583166
615	27967	ice_cube	90561277
616	35033	rugged	90324278
617	157753	aws-sdk-costandusagereportservice	90261727
618	123933	fog-google	90135557
619	154243	aws-sdk-shield	90120320
620	15361	capistrano	89979812
621	32824	slim	89952928
622	153992	aws-sdk-cloudhsm	89731910
623	19583	annotate	89718489
624	153987	aws-sdk-applicationdiscoveryservice	89634192
625	167628	aws-sdk-guardduty	89492351
626	167658	aws-sdk-comprehend	89425538
627	154008	aws-sdk-directconnect	89269730
628	154009	aws-sdk-directoryservice	89239522
629	154024	aws-sdk-gamelift	89207443
630	154053	aws-sdk-storagegateway	89177777
631	154245	aws-sdk-appstream	89038128
632	55913	benchmark-ips	89004309
633	160190	aws-sdk-resourcegroupstaggingapi	88985810
634	153993	aws-sdk-cloudsearch	88952809
635	154007	aws-sdk-devicefarm	88945387
636	167663	aws-sdk-sagemakerruntime	88817077
637	167341	aws-sdk-costexplorer	88780379
638	154039	aws-sdk-opsworks	88510988
639	121182	fog-local	88489753
640	167563	aws-sdk-medialive	88487364
641	154048	aws-sdk-sms	88474890
642	92883	cucumber-core	88405246
643	169340	aws-sdk-transcribeservice	88361299
644	160196	aws-sdk-lex	88360711
645	154025	aws-sdk-glacier	88269487
646	162119	aws-sdk-dax	88241868
647	154047	aws-sdk-simpledb	88217343
648	162120	aws-sdk-greengrass	88164335
649	154038	aws-sdk-marketplacemetering	88163258
650	154253	aws-sdk-health	88120647
651	160191	aws-sdk-lexmodelbuildingservice	88071159
652	154030	aws-sdk-iotdataplane	88023981
653	154049	aws-sdk-snowball	87995547
654	154055	aws-sdk-swf	87842739
655	163997	aws-sdk-migrationhub	87787964
656	22687	net-ldap	87645112
657	154036	aws-sdk-machinelearning	87593014
658	153994	aws-sdk-cloudsearchdomain	87548460
659	154021	aws-sdk-elastictranscoder	87516511
660	32607	validate_url	87449845
661	154037	aws-sdk-marketplacecommerceanalytics	87301342
662	167661	aws-sdk-translate	87272743
663	154248	aws-sdk-wafregional	87250462
664	154028	aws-sdk-inspector	87244172
665	154054	aws-sdk-support	87192096
666	33858	hike	87153826
667	157868	aws-sdk-workdocs	87153785
668	173988	aws-sdk-eks	87128519
669	157792	aws-sdk-mturk	87116495
670	157795	aws-sdk-clouddirectory	87065057
671	160194	aws-sdk-marketplaceentitlementservice	86983637
672	154032	aws-sdk-kinesisanalytics	86908351
673	154006	aws-sdk-datapipeline	86894589
674	154003	aws-sdk-cognitosync	86854206
675	167629	aws-sdk-appsync	86741503
676	171804	aws-sdk-connect	86737900
677	154027	aws-sdk-importexport	86672847
678	167630	aws-sdk-mq	86622452
679	116216	spring-watcher-listen	86422941
680	46078	redis-rails	86397020
681	167579	aws-sdk-mediapackage	86387542
682	99399	power_assert	86331673
683	60730	rack-mini-profiler	86241144
684	154249	aws-sdk-opsworkscm	86233448
685	153596	webdrivers	86063216
686	15160	ruby-ole	86034075
687	203240	libddwaf	85964412
688	139194	ruby-kafka	85882721
689	38656	wicked_pdf	85728714
690	32196	grape	85723461
691	34568	hiredis	85613286
692	167659	aws-sdk-kinesisvideo	85448129
693	167858	aws-sdk-servicediscovery	85379487
694	184897	rqrcode_core	85366171
695	166871	aws-sdk-pricing	85326095
696	197495	turbo-rails	85322721
697	196675	sentry-sidekiq	85255327
698	167680	aws-sdk-resourcegroups	85232115
699	168080	aws-sdk-workmail	85092875
700	167564	aws-sdk-mediastore	84793473
701	167662	aws-sdk-kinesisvideoarchivedmedia	84703914
702	167702	aws-sdk-serverlessapplicationrepository	84566674
703	167701	aws-sdk-cloud9	84445480
704	171972	aws-sdk-acmpca	83851590
705	35612	attr_required	83809901
706	167665	aws-sdk-iotjobsdataplane	83736623
707	167562	aws-sdk-mediastoredata	83734764
708	167667	aws-sdk-kinesisvideomedia	83723056
709	34328	parslet	83534487
710	32741	rack-oauth2	83435922
711	169210	aws-sdk-autoscalingplans	83323596
712	27964	rack-accept	83313358
713	207123	libdatadog	83213090
714	136591	strong_migrations	83206797
715	33518	paranoia	82641052
716	16014	spreadsheet	82570818
717	187704	cgi	82505416
718	171973	aws-sdk-fms	82354906
719	21605	whenever	81759524
720	160394	test-prof	81625257
721	17356	paperclip	81454668
722	42055	libv8	81109380
723	21442	mustache	80986804
724	16249	sdoc	80945648
725	24865	numerizer	80897700
726	112179	logstash-filter-translate	80736711
727	17552	icalendar	80695683
728	173837	aws-sdk-neptune	80465741
729	63953	rbs	80315640
730	154035	aws-sdk-lambdapreview	80202787
731	24075	attr_encrypted	80189645
732	64057	hana	79962589
733	115224	logstash-output-sqs	79960018
734	173915	aws-sdk-mediatailor	79885560
735	160189	aws-sdk-codestar	79853556
736	71078	phonelib	79428005
737	188858	gapic-common	79415326
738	58858	rspec-parameterized	79355135
739	16057	socksify	79308896
740	173794	aws-sdk-pi	79217044
741	172615	aws-sdk-iotanalytics	79156120
742	175110	aws-sdk-dlm	79099037
743	95955	proc_to_ast	79044576
744	167704	aws-sdk-alexaforbusiness	79037034
745	35973	amq-protocol	78963599
746	164610	aws-sdk-mobile	78782148
747	169449	json_schemer	78515828
748	136023	dry-equalizer	77849090
749	178951	aws-sdk-kafka	77695867
750	19332	bunny	77598696
751	178583	aws-sdk-s3control	77566069
752	178825	aws-sdk-transfer	77550762
753	144387	ruby_dep	77508275
754	153982	aws-sigv2	77493963
755	86700	elasticsearch-model	77082539
756	178703	aws-sdk-quicksight	77031862
757	44977	openid_connect	77026372
758	46013	bootstrap-sass	76940998
759	149719	terrapin	76583345
760	71590	rollbar	76572352
761	178916	aws-sdk-securityhub	76223700
762	148525	mustermann-grape	76168938
763	187899	opentelemetry-api	76094285
764	15416	macaddr	75934561
765	150995	grpc-google-iam-v1	75515703
766	184128	omniauth-rails_csrf_protection	75505377
767	195831	tsort	75497372
768	73058	toml-rb	75495842
769	176377	aws-sdk-signer	75427396
770	20627	ohai	75242274
771	178582	aws-sdk-route53resolver	75007420
772	59622	fluent-plugin-rewrite-tag-filter	74687289
773	20625	mixlib-cli	74644026
774	41403	simpleidn	74595916
775	178580	aws-sdk-ram	74589643
776	178115	aws-sdk-chime	74312163
777	29107	citrus	74173106
778	20557	acts_as_list	74171910
779	205553	faraday-follow_redirects	74125967
780	15317	sequel	74001942
781	183850	sorbet-static	73943255
782	45281	swd	73756822
783	176359	strings-ansi	73743020
784	18821	email_spec	73633061
785	69258	webfinger	73578850
786	25547	ffaker	73445269
787	57581	marginalia	73335058
788	90416	monetize	73286856
789	173343	aws-sdk-iot1clickprojects	73253762
790	173344	aws-sdk-iot1clickdevicesservice	73244116
791	178826	aws-sdk-datasync	73098939
792	178915	aws-sdk-fsx	72927348
793	178823	aws-sdk-amplify	72925103
794	178704	aws-sdk-rdsdataservice	72831553
795	15415	uuid	72776405
796	34922	fuubar	72725845
797	55123	arr-pm	72370129
798	179478	aws-sdk-apigatewayv2	72243938
799	38188	rbtrace	71927164
800	21139	factory_girl	71726360
801	173290	stimulus-rails	71540860
802	178923	aws-sdk-appmesh	71473375
803	15333	json_pure	71457692
804	25852	wkhtmltopdf-binary	71440218
805	16578	ruby-graphviz	71402131
806	178851	aws-sdk-globalaccelerator	71362236
807	24206	has_scope	71078534
808	20624	mixlib-config	70988033
809	22245	fast_gettext	70954997
810	41879	recursive-open-struct	70824104
811	15727	rbtree	70803599
812	178581	aws-sdk-pinpointsmsvoice	70776229
813	178323	aws-sdk-pinpointemail	70773807
814	178922	aws-sdk-licensemanager	70596867
815	165171	strings	70584525
816	181543	aws-sdk-textract	70563603
817	178886	aws-sdk-mediaconnect	70539356
818	178885	aws-sdk-kinesisanalyticsv2	70509970
819	76447	lru_redux	70509318
820	22149	acts-as-taggable-on	70464541
821	178884	aws-sdk-comprehendmedical	70454882
822	180221	aws-sdk-backup	69636426
823	98337	pg_query	69502457
824	180034	aws-sdk-docdb	69373876
825	117978	simplecov-cobertura	69302685
826	138056	flipper-active_record	69173421
827	178824	aws-sdk-robomaker	68957002
828	97693	state_machines-activemodel	68871139
829	76488	sigdump	68755235
830	179479	aws-sdk-apigatewaymanagementapi	68263318
831	149016	warning	68146840
832	47630	omniauth-facebook	67741098
833	20164	sync	67691306
834	87424	prometheus-client	67293780
835	47410	bugsnag	67207310
836	85007	elasticsearch-rails	67201771
837	20489	delayed_job	66877964
838	187906	aws-sdk-sesv2	66837246
839	97656	state_machines-activerecord	66773777
840	173623	fluent-config-regexp-type	66466521
841	23894	gherkin	66447361
842	45495	charlock_holmes	66419470
843	20626	mixlib-log	66386769
844	174499	aws-sdk-macie	66175713
845	53864	omniauth-saml	65890683
846	39068	mini_portile	65722313
847	185061	aws-sdk-eventbridge	65702922
848	21963	text	65651869
